review,prediction,confidence,top2_attention_words,words,weights_normalized,ghi_chu_phan_tich,vi_tri_tu_quan_trong_nhat
giao hàng đúng hẹn cửa hàng nhiệt tình hỗ trợ sản phẩm giao nhầm người khác mình nhận hàng của người lạ chuẩn dịch vụ,MỈA MAI,0.5069,"vụ, dịch",giao | hàng | đúng | hẹn | cửa | hàng | nhiệt | tình | hỗ | trợ | sản | phẩm | giao | nhầm | người | khác | mình | nhận | hàng | của | người | lạ | chuẩn | dịch | vụ,0.004 | 0.000 | 0.014 | 0.040 | 0.059 | 0.080 | 0.110 | 0.128 | 0.167 | 0.203 | 0.236 | 0.267 | 0.296 | 0.358 | 0.397 | 0.466 | 0.553 | 0.627 | 0.695 | 0.788 | 0.843 | 0.917 | 0.959 | 0.984 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
sản phẩm đúng với mô tả mô tả ghi có thể có lỗi nhỏ và đúng là có lỗi thật chính xác 100,MỈA MAI,0.5368,"100, xác",sản | phẩm | đúng | với | mô | tả | mô | tả | ghi | có | thể | có | lỗi | nhỏ | và | đúng | là | có | lỗi | thật | chính | xác | 100,0.058 | 0.048 | 0.055 | 0.070 | 0.053 | 0.035 | 0.020 | 0.000 | 0.018 | 0.057 | 0.098 | 0.159 | 0.231 | 0.249 | 0.313 | 0.389 | 0.520 | 0.641 | 0.748 | 0.851 | 0.908 | 0.960 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
tem xé lon móp trước đóng gói ngày sản xuất cách năm rưỡi sao hơi rẻ sao đẹp,MỈA MAI,0.6944,"đẹp, sao",tem | xé | lon | móp | trước | đóng | gói | ngày | sản | xuất | cách | năm | rưỡi | sao | hơi | rẻ | sao | đẹp,0.000 | 0.065 | 0.168 | 0.289 | 0.409 | 0.495 | 0.577 | 0.667 | 0.735 | 0.809 | 0.861 | 0.892 | 0.927 | 0.949 | 0.960 | 0.966 | 0.994 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
đóng gói chắc chắn nh cửa hàng đóng thiếu tẩy trang tặng sao,KHÔNG MỈA MAI,0.1075,"chắc, đóng",đóng | gói | chắc | chắn | nh | cửa | hàng | đóng | thiếu | tẩy | trang | tặng | sao,0.998 | 0.945 | 1.000 | 0.988 | 0.928 | 0.923 | 0.897 | 0.819 | 0.792 | 0.591 | 0.334 | 0.154 | 0.000,Bình thường,0.17
serum vào nếp thơm suôn mềm mượt điểm trừ là nút nhấn bị kẹt nhấn không ra serum phải mở nắp chai để dùng,MỈA MAI,0.7104,"để, dùng",serum | vào | nếp | thơm | suôn | mềm | mượt | điểm | trừ | là | nút | nhấn | bị | kẹt | nhấn | không | ra | serum | phải | mở | nắp | chai | để | dùng,0.000 | 0.044 | 0.070 | 0.104 | 0.138 | 0.180 | 0.234 | 0.286 | 0.354 | 0.443 | 0.485 | 0.538 | 0.612 | 0.673 | 0.726 | 0.788 | 0.845 | 0.894 | 0.936 | 0.963 | 0.982 | 0.990 | 1.000 | 0.994,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.96
hàng đẹp lắm đóng gói cẩn thận nhưng mà xài 2 ngày là bong tróc hết chất lượng tuyệt vời phết nhỉ,KHÔNG MỈA MAI,0.2979,"nhỉ, phết",hàng | đẹp | lắm | đóng | gói | cẩn | thận | nhưng | mà | xài | 2 | ngày | là | bong | tróc | hết | chất | lượng | tuyệt | vời | phết | nhỉ,0.080 | 0.085 | 0.142 | 0.129 | 0.138 | 0.075 | 0.000 | 0.037 | 0.066 | 0.073 | 0.122 | 0.185 | 0.332 | 0.435 | 0.520 | 0.611 | 0.717 | 0.829 | 0.915 | 0.944 | 0.982 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
hương vị không ngon mùi bì mẫu mã xấu sữa sắp hết date hàng giao rò rỉ sữa ngoài không hiểu đóng gói kiểu rỉ rõ thế không xử lý khách đừng mua hãng sữa người mua gần hết date bán rẻ uống không ngon bằng vinamilk không phần vinamilk,KHÔNG MỈA MAI,0.2418,"không, hương",hương | vị | không | ngon | mùi | bì | mẫu | mã | xấu | sữa | sắp | hết | date | hàng | giao | rò | rỉ | sữa | ngoài | không | hiểu | đóng | gói | kiểu | rỉ | rõ | thế | không | xử | lý | khách | đừng | mua | hãng | sữa | người | mua | gần | hết | date | bán | rẻ | uống | không | ngon | bằng | vinamilk | không | phần | vinamilk,0.990 | 0.961 | 1.000 | 0.977 | 0.988 | 0.988 | 0.981 | 0.970 | 0.932 | 0.897 | 0.829 | 0.782 | 0.695 | 0.642 | 0.575 | 0.513 | 0.484 | 0.452 | 0.436 | 0.442 | 0.404 | 0.372 | 0.350 | 0.329 | 0.317 | 0.327 | 0.326 | 0.340 | 0.331 | 0.329 | 0.344 | 0.345 | 0.300 | 0.286 | 0.264 | 0.233 | 0.184 | 0.160 | 0.136 | 0.103 | 0.084 | 0.059 | 0.049 | 0.042 | 0.028 | 0.022 | 0.014 | 0.015 | 0.008 | 0.000,Bình thường,0.04
pin sạc dự phòng trông xịn dung lượng 20000mah sạc điện thoại được 1 lần là hết đúng là 20000mah,MỈA MAI,0.6739,"là, 20000mah",pin | sạc | dự | phòng | trông | xịn | dung | lượng | 20000mah | sạc | điện | thoại | được | 1 | lần | là | hết | đúng | là | 20000mah,0.000 | 0.021 | 0.063 | 0.109 | 0.163 | 0.219 | 0.258 | 0.317 | 0.368 | 0.440 | 0.511 | 0.593 | 0.686 | 0.765 | 0.825 | 0.894 | 0.937 | 0.974 | 1.000 | 0.994,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.95
đóng gói sơ sài thấy cửa hàng đóng gói sản phẩm cẩu thả hộp bên ngoài cũ nhàu nát kiểu sản phẩm hộp cũ xong đóng gói gửi khách sử dụng nhận hàng mở thấy không hài lòng thất vọng,MỈA MAI,0.6843,"thất, lòng",đóng | gói | sơ | sài | thấy | cửa | hàng | đóng | gói | sản | phẩm | cẩu | thả | hộp | bên | ngoài | cũ | nhàu | nát | kiểu | sản | phẩm | hộp | cũ | xong | đóng | gói | gửi | khách | sử | dụng | nhận | hàng | mở | thấy | không | hài | lòng | thất | vọng,0.022 | 0.006 | 0.002 | 0.000 | 0.005 | 0.007 | 0.008 | 0.004 | 0.005 | 0.013 | 0.017 | 0.035 | 0.056 | 0.085 | 0.143 | 0.191 | 0.227 | 0.280 | 0.309 | 0.346 | 0.380 | 0.410 | 0.459 | 0.489 | 0.543 | 0.563 | 0.592 | 0.615 | 0.665 | 0.696 | 0.726 | 0.764 | 0.800 | 0.846 | 0.889 | 0.933 | 0.967 | 0.994 | 1.000 | 0.984,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.97
sản phẩm đúng mô tả 100 mô tả ghi dùng được 6 tháng mình dùng được 2 tuần là hết đúng thật nhỉ,KHÔNG MỈA MAI,0.474,"nhỉ, thật",sản | phẩm | đúng | mô | tả | 100 | mô | tả | ghi | dùng | được | 6 | tháng | mình | dùng | được | 2 | tuần | là | hết | đúng | thật | nhỉ,0.113 | 0.095 | 0.094 | 0.066 | 0.037 | 0.043 | 0.023 | 0.000 | 0.011 | 0.022 | 0.061 | 0.097 | 0.114 | 0.174 | 0.230 | 0.327 | 0.426 | 0.535 | 0.679 | 0.779 | 0.869 | 0.954 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
sản phẩm tuyệt vời vừa mở hộp đã không dùng được,KHÔNG MỈA MAI,0.2398,"được, dùng",sản | phẩm | tuyệt | vời | vừa | mở | hộp | đã | không | dùng | được,0.000 | 0.030 | 0.081 | 0.100 | 0.160 | 0.243 | 0.348 | 0.512 | 0.696 | 0.833 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
đóng gói quá cẩn thận nên hàng vỡ đẹp luôn,KHÔNG MỈA MAI,0.0964,"quá, đóng",đóng | gói | quá | cẩn | thận | nên | hàng | vỡ | đẹp | luôn,0.919 | 0.833 | 1.000 | 0.706 | 0.396 | 0.344 | 0.214 | 0.145 | 0.009 | 0.000,Bình thường,0.22
đẹp no mẹo no kinh nghiệm sử dụng no dùng vô đánh giá dịch vụ tệ cửa hàng mang tiếng cửa hàng mall ăn chán lần đầu đặt đơn srm thấy ổn mới đặt tiếp tẩy trang lần đặt tự nhiên mới kho người giao hàng báo hoàn hàng cứ đổ lỗi người giao hàng hóa nay đặt lần mới biết lỗi do cửa hàng giao hàng cuối vn đầu vn không miếng chống xóc vứt nguyên cái chai vô hộp rõ mỏng nơi cái hộp nát kia miếng dán nhăn nhó may lần trước chai không nứt chảy nước lần rồi ngay đặt đơn note cửa hàng gửi tin nhắn lần cskh hứa nọ hứa kia nhận đơn đâu cửa hàng khác cùng tỉnh bọc mấy lớp chống xóc sản phẩm chả dạng lỏng giao hàng rõ xa sản phẩm dạng nước thấy bọc trông chán không cửa hàng xem nhân viên kho chứ cứ bọc kiểu cửa hàng mất hết khách kể cửa hàng mall chính hãng người ta không quay điển hình,KHÔNG MỈA MAI,0.2028,"no, đẹp",đẹp | no | mẹo | no | kinh | nghiệm | sử | dụng | no | dùng | vô | đánh | giá | dịch | vụ | tệ | cửa | hàng | mang | tiếng | cửa | hàng | mall | ăn | chán | lần | đầu | đặt | đơn | srm | thấy | ổn | mới | đặt | tiếp | tẩy | trang | lần | đặt | tự | nhiên | mới | kho | người | giao | hàng | báo | hoàn | hàng | cứ | đổ | lỗi | người | giao | hàng | hóa | nay | đặt | lần | mới | biết | lỗi | do | cửa | hàng | giao | hàng | cuối | vn | đầu | vn | không | miếng | chống | xóc | vứt | nguyên | cái | chai | vô | hộp | rõ | mỏng | nơi | cái | hộp | nát | kia | miếng | dán | nhăn | nhó | may | lần | trước | chai | không | nứt | chảy | nước | lần | rồi | ngay | đặt | đơn | note | cửa | hàng | gửi | tin | nhắn | lần | cskh | hứa | nọ | hứa | kia | nhận | đơn | đâu | cửa | hàng | khác | cùng | tỉnh | bọc | mấy | lớp | chống | xóc | sản | phẩm | chả | dạng | lỏng | giao | hàng | rõ | xa | sản | phẩm | dạng | nước | thấy | bọc | trông | chán | không | cửa | hàng | xem | nhân | viên | kho | chứ | cứ | bọc | kiểu | cửa | hàng | mất | hết | khách | kể | cửa | hàng | mall | chính | hãng | người | ta | không | quay | điển | hình,0.994 | 1.000 | 0.952 | 0.976 | 0.976 | 0.978 | 0.943 | 0.899 | 0.891 | 0.877 | 0.862 | 0.793 | 0.721 | 0.675 | 0.618 | 0.559 | 0.518 | 0.477 | 0.413 | 0.402 | 0.365 | 0.329 | 0.285 | 0.244 | 0.217 | 0.196 | 0.174 | 0.166 | 0.149 | 0.133 | 0.124 | 0.114 | 0.106 | 0.099 | 0.083 | 0.067 | 0.052 | 0.046 | 0.040 | 0.027 | 0.020 | 0.016 | 0.010 | 0.004 | 0.002 | 0.002 | 0.000 | 0.001 | 0.002 | 0.001,Bình thường,0.02
không biết do cửa hàng đóng gói sơ sài vận chuyển nó nv hàng trưng bày chắc không lsau quay cửa hàng,MỈA MAI,0.7143,"cửa, quay",không | biết | do | cửa | hàng | đóng | gói | sơ | sài | vận | chuyển | nó | nv | hàng | trưng | bày | chắc | không | lsau | quay | cửa | hàng,0.000 | 0.032 | 0.099 | 0.146 | 0.196 | 0.245 | 0.299 | 0.361 | 0.425 | 0.492 | 0.562 | 0.638 | 0.701 | 0.756 | 0.810 | 0.862 | 0.908 | 0.946 | 0.972 | 0.995 | 1.000 | 0.992,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.95
đóng gói không gói giao nhanh,KHÔNG MỈA MAI,0.0923,"gói, không",đóng | gói | không | gói | giao | nhanh,0.270 | 0.126 | 0.946 | 1.000 | 0.644 | 0.000,Bình thường,0.6
dành da thieu nuoc da dau công dụng abcde mùi hương ổn gói hàng sơ xài vỡ mất nắp lọ kem cửa hàng chú lần,KHÔNG MỈA MAI,0.12,"dành, da",dành | da | thieu | nuoc | da | dau | công | dụng | abcde | mùi | hương | ổn | gói | hàng | sơ | xài | vỡ | mất | nắp | lọ | kem | cửa | hàng | chú | lần,1.000 | 0.913 | 0.842 | 0.783 | 0.721 | 0.664 | 0.598 | 0.529 | 0.462 | 0.416 | 0.368 | 0.336 | 0.306 | 0.282 | 0.271 | 0.243 | 0.237 | 0.215 | 0.202 | 0.182 | 0.139 | 0.109 | 0.074 | 0.038 | 0.000,Bình thường,0.0
sao ghi tặng quà mua không tặng,KHÔNG MỈA MAI,0.1609,"tặng, không",sao | ghi | tặng | quà | mua | không | tặng,0.000 | 0.209 | 0.421 | 0.645 | 0.609 | 0.891 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
đóng gói không chắc chắn bịch bục mùi sữa hỏng bỏ chục túi,KHÔNG MỈA MAI,0.2706,"túi, chục",đóng | gói | không | chắc | chắn | bịch | bục | mùi | sữa | hỏng | bỏ | chục | túi,0.000 | 0.021 | 0.118 | 0.233 | 0.328 | 0.391 | 0.537 | 0.636 | 0.727 | 0.826 | 0.892 | 0.930 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
hàng mua link sản phẩm tặng quà không nhận hỏi cửa hàng trả lời vòng vo không đúng mục đích câu hỏi nhận hàng thất vọng cửa hàng uy tín sản phẩm không vỏ hộp tem mác không rõ ngày sản xuất ghi hàng nhập không bill,MỈA MAI,0.7365,"rõ, không",hàng | mua | link | sản | phẩm | tặng | quà | không | nhận | hỏi | cửa | hàng | trả | lời | vòng | vo | không | đúng | mục | đích | câu | hỏi | nhận | hàng | thất | vọng | cửa | hàng | uy | tín | sản | phẩm | không | vỏ | hộp | tem | mác | không | rõ | ngày | sản | xuất | ghi | hàng | nhập | không | bill,0.053 | 0.000 | 0.012 | 0.011 | 0.011 | 0.022 | 0.035 | 0.073 | 0.098 | 0.136 | 0.161 | 0.183 | 0.207 | 0.247 | 0.286 | 0.308 | 0.377 | 0.437 | 0.478 | 0.525 | 0.579 | 0.636 | 0.684 | 0.723 | 0.784 | 0.828 | 0.861 | 0.884 | 0.913 | 0.932 | 0.948 | 0.957 | 0.970 | 0.981 | 0.990 | 0.995 | 0.996 | 1.000 | 1.000 | 0.997 | 0.990 | 0.986 | 0.963 | 0.946 | 0.931 | 0.920 | 0.902,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),0.8
đóng gói đẹp giao nhanh bì đẹp nhỏ xinh lần đầu mua thử thương hiệu việt nam mong ổn phù hợp update xài chán thà mua mấy thương hiệu nước ngoài chứ hãng mới giá đâu rẻ đâu trải nghiệm không cảm giác ngoài khó chịu,KHÔNG MỈA MAI,0.083,"đóng, gói",đóng | gói | đẹp | giao | nhanh | bì | đẹp | nhỏ | xinh | lần | đầu | mua | thử | thương | hiệu | việt | nam | mong | ổn | phù | hợp | update | xài | chán | thà | mua | mấy | thương | hiệu | nước | ngoài | chứ | hãng | mới | giá | đâu | rẻ | đâu | trải | nghiệm | không | cảm | giác | ngoài | khó | chịu,1.000 | 0.917 | 0.847 | 0.751 | 0.659 | 0.582 | 0.507 | 0.396 | 0.302 | 0.252 | 0.200 | 0.149 | 0.125 | 0.100 | 0.093 | 0.079 | 0.069 | 0.063 | 0.057 | 0.048 | 0.043 | 0.039 | 0.034 | 0.029 | 0.024 | 0.020 | 0.021 | 0.017 | 0.019 | 0.018 | 0.015 | 0.011 | 0.009 | 0.007 | 0.003 | 0.001 | 0.000 | 0.001 | 0.002 | 0.002 | 0.003 | 0.001 | 0.002 | 0.003 | 0.003 | 0.003,Bình thường,0.0
